regime,clusters_yield,allocated_production_t,allocated_harvested_area_ha,achieved_yield_t_per_harvested_ha,cropping_intensity,model_oar_mt_per_1000km2,benchmark_physical_area_1000km2,reconstructed_production_mt
irrigated,1,250810.37345521015,57630.649217774866,4.352031026189679,1.621861595214357,0.7058391982558367,0.35533641950599354,0.2508103734552101
irrigated,2,1097071.0745483455,236604.52059193052,4.636729136889372,1.621861595214357,0.7520132914532285,1.4588453249653475,1.0970710745483456
irrigated,3,4845213.195459604,1071967.7423933104,4.519924437877227,1.621861595214357,0.7330691859063916,6.609489647922956,4.845213195459604
irrigated,4,1417792.4559921087,305455.46995126543,4.641568396919896,1.621861595214357,0.7527981524525049,1.8833633575921394,1.417792455992109
irrigated,5,1306602.0401726475,278646.79673708824,4.6890976514812275,1.621861595214357,0.7605067397147238,1.7180676671751407,1.3066020401726475
irrigated,6,1142763.5501002348,267209.1195547669,4.276663730655402,1.621861595214357,0.6936156660396153,1.6475457606445798,1.142763550100235
irrigated,7,2453602.354996048,526236.2637224463,4.6625489806421925,1.621861595214357,0.7562009127509419,3.2446434718919104,2.4536023549960477
irrigated,8,2057910.1452758007,509703.79783141724,4.0374628441682665,1.621861595214357,0.6548205929061439,3.1427083503019326,2.057910145275801
rainfed,1,76002.78585054424,25843.60277006207,2.9408742475560694,1.0,0.29408742475560695,0.2584360277006207,0.07600278585054424
rainfed,2,230739.57847342396,72717.23740102784,3.1731070475205168,1.0,0.3173107047520517,0.7271723740102785,0.23073957847342397
rainfed,3,1879480.929683803,594242.6307214136,3.1628173956521826,1.0,0.31628173956521827,5.942426307214136,1.879480929683803
rainfed,4,372577.9443099805,118825.34072021842,3.135509160350217,1.0,0.3135509160350217,1.1882534072021842,0.37257794430998054
rainfed,5,295429.984718364,82946.7178195596,3.5616838433684097,1.0,0.35616838433684095,0.829467178195596,0.29542998471836396
rainfed,6,220284.13749301693,67971.63315491394,3.2408245508971074,1.0,0.32408245508971073,0.6797163315491395,0.22028413749301692
rainfed,7,462388.26986717177,115909.40010426195,3.989221490675025,1.0,0.3989221490675025,1.1590940010426194,0.46238826986717174
rainfed,8,1186186.7196036954,386985.1673085426,3.0651994438276517,1.0,0.3065199443827652,3.8698516730854258,1.1861867196036955
