province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Abra,1,436.4470681059218,3485.290533984941,0.12522544787877576,irrigated,56343.5,14548.87,7055.640022557803,1821.8887618800845
Abra,1,436.4470681059218,3485.290533984941,0.12522544787877576,rainfed,27323.6,8833.8,3421.6100476605175,1106.2165614715293
Abra,2,712.7776968695171,3485.290533984941,0.20451026676807793,irrigated,56343.5,14548.87,11522.824215647199,2975.393284874086
Abra,2,712.7776968695171,3485.290533984941,0.20451026676807793,rainfed,27323.6,8833.8,5587.956725064254,1806.6027945758467
Abra,3,436.80664752739494,3485.290533984941,0.12532861845177878,irrigated,56343.5,14548.87,7061.453013737798,1823.389777134531
Abra,3,436.80664752739494,3485.290533984941,0.12532861845177878,rainfed,27323.6,8833.8,3424.4290391290224,1107.1279496793234
Abra,4,8.477565705813875,3485.290533984941,0.002432384222534518,irrigated,56343.5,14548.87,137.0490404423736,35.38844184370577
Abra,4,8.477565705813875,3485.290533984941,0.002432384222534518,rainfed,27323.6,8833.8,66.46149354284415,21.48719574502542
Abra,5,961.4642242708414,3485.290533984941,0.2758634366046787,irrigated,56343.5,14548.87,15543.111540335714,4013.5012769147124
Abra,5,961.4642242708414,3485.290533984941,0.2758634366046787,rainfed,27323.6,8833.8,7537.5821964115985,2436.9224262784105
Abra,6,850.9983411163512,3485.290533984941,0.24416855146459024,irrigated,56343.5,14548.87,13757.31077944514,3552.376513346633
Abra,6,850.9983411163512,3485.290533984941,0.24416855146459024,rainfed,27323.6,8833.8,6671.563832797878,2156.936149927897
Abra,7,78.31899038910039,3485.290533984941,0.022471294609564044,irrigated,56343.5,14548.87,1266.1113878339718,326.93194400624805
Abra,7,78.31899038910039,3485.290533984941,0.022471294609564044,rainfed,27323.6,8833.8,613.9966653938841,198.50692232196684
Agusan del Norte,2,668.2251832826952,2536.045334400561,0.2634910244775423,irrigated,62796.68,18308.0,16546.36154698839,4823.9936761348445
Agusan del Norte,2,668.2251832826952,2536.045334400561,0.2634910244775423,rainfed,7696.74,2520.0,2028.021907737279,663.9973816834066
Agusan del Norte,3,75.70574685455449,2536.045334400561,0.029851890195980616,irrigated,62796.68,18308.0,1874.599596032132,546.5284057080131
Agusan del Norte,3,75.70574685455449,2536.045334400561,0.029851890195980616,rainfed,7696.74,2520.0,229.76223734701185,75.22676329387116
Agusan del Norte,4,662.8348665894999,2536.045334400561,0.26136554327258216,irrigated,62796.68,18308.0,16412.888383914495,4785.080366234434
Agusan del Norte,4,662.8348665894999,2536.045334400561,0.26136554327258216,rainfed,7696.74,2520.0,2011.662631527814,658.6411690469071
Agusan del Norte,8,1129.279537673811,2536.045334400561,0.4452915420538948,irrigated,62796.68,18308.0,27962.830473064976,8152.397551922706
Agusan del Norte,8,1129.279537673811,2536.045334400561,0.4452915420538948,rainfed,7696.74,2520.0,3427.293223387894,1122.134685975815
Agusan del Sur,2,971.9562854103214,7533.674435400903,0.12901490418049885,irrigated,150335.0,43210.0,19395.455619975295,5574.7340096393555
Agusan del Sur,2,971.9562854103214,7533.674435400903,0.12901490418049885,rainfed,119103.44,42290.0,15366.118899167794,5456.040297793296
Agusan del Sur,4,1189.9053293204906,7533.674435400903,0.1579448832735722,irrigated,150335.0,43210.0,23744.644026932478,6824.798406251055
Agusan del Sur,4,1189.9053293204906,7533.674435400903,0.1579448832735722,rainfed,119103.44,42290.0,18811.77892828091,6679.489113639368
Agusan del Sur,8,5371.812820670091,7533.674435400903,0.713040212545929,irrigated,150335.0,43210.0,107194.90035309223,30810.467584109592
Agusan del Sur,8,5371.812820670091,7533.674435400903,0.713040212545929,rainfed,119103.44,42290.0,84925.5421725513,30154.470588567336
Aklan,2,80.2237674201569,1341.6922672949595,0.059792971440387976,irrigated,69009.61,19588.0,4126.289639842313,1171.2247245743197
Aklan,2,80.2237674201569,1341.6922672949595,0.059792971440387976,rainfed,53297.58,18815.0,3186.8206787817935,1125.0047576508998
Aklan,4,129.7886033192971,1341.6922672949595,0.09673500137328002,irrigated,69009.61,19588.0,6675.644718119519,1894.845206899809
Aklan,4,129.7886033192971,1341.6922672949595,0.09673500137328002,rainfed,53297.58,18815.0,5155.741474492502,1820.0690508382636
Aklan,8,1131.6798965555056,1341.6922672949595,0.8434720271863321,irrigated,69009.61,19588.0,58207.67564203817,16521.93006852587
Aklan,8,1131.6798965555056,1341.6922672949595,0.8434720271863321,rainfed,53297.58,18815.0,44955.01784672571,15869.926191510838
Albay,8,2136.3788508385633,2136.3788508385633,1.0,irrigated,186439.7,43920.0,186439.7,43920.0
Albay,8,2136.3788508385633,2136.3788508385633,1.0,rainfed,29567.25,9973.0,29567.25,9973.0
Antique,1,61.832596003932856,2209.5529278690665,0.027984211296339188,irrigated,145642.0,35093.0,4075.676501621432,982.0499270224311
Antique,1,61.832596003932856,2209.5529278690665,0.027984211296339188,rainfed,119889.0,35999.94,3354.9991081068088,1007.4299276155331
Antique,2,248.59260503381628,2209.5529278690665,0.1125081014798607,irrigated,145642.0,35093.0,16385.904915729872,3948.2468052327517
Antique,2,248.59260503381628,2209.5529278690665,0.1125081014798607,rainfed,119889.0,35999.94,13488.48377831902,4050.284902788897
Antique,3,1022.943429596962,2209.5529278690665,0.46296398547171597,irrigated,145642.0,35093.0,67427.00077207165,16246.795142158928
Antique,3,1022.943429596962,2209.5529278690665,0.46296398547171597,rainfed,119889.0,35999.94,55504.28925421856,16666.67569914265
Antique,4,508.36204043325654,2209.5529278690665,0.2300746155574242,irrigated,145642.0,35093.0,33508.527159014375,8074.008483756687
Antique,4,508.36204043325654,2209.5529278690665,0.2300746155574242,rainfed,119889.0,35999.94,27583.41558456403,8282.672355590339
Antique,8,367.8222568010989,2209.5529278690665,0.16646908619465994,irrigated,145642.0,35093.0,24244.890651562662,5841.899641829202
Antique,8,367.8222568010989,2209.5529278690665,0.16646908619465994,rainfed,119889.0,35999.94,19957.812274791588,5992.8771148625865
Apayao,1,0.9205983411302965,3434.5457613697586,0.00026804078474795026,irrigated,75738.54,17805.46,20.30101769726402,4.772589471198238
Apayao,1,0.9205983411302965,3434.5457613697586,0.00026804078474795026,rainfed,21131.22,8206.0,5.664028791481582,2.19954267964168
Apayao,2,734.6040233106961,3434.5457613697586,0.2138868061020456,irrigated,75738.54,17805.46,16199.474419432025,3808.3529705777287
Apayao,2,734.6040233106961,3434.5457613697586,0.2138868061020456,rainfed,21131.22,8206.0,4519.689154839669,1755.1551308733863
Apayao,3,1783.826376788975,3434.5457613697586,0.519377670506726,irrigated,75738.54,17805.46,39336.90647278049,9247.75833710069
