"Ecosystem/Croptype","Geolocation","2020 Annual"
"Irrigated Palay","PHILIPPINES",3253454.36
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",80932.39
"Irrigated Palay","....Abra",14548.87
"Irrigated Palay","....Apayao",17805.46
"Irrigated Palay","....Benguet",5903.00
"Irrigated Palay","....Ifugao",14899.82
"Irrigated Palay","....Kalinga",23570.00
"Irrigated Palay","....Mountain Province",4205.25
"Irrigated Palay","..REGION I (ILOCOS REGION)",283616.00
"Irrigated Palay","....Ilocos Norte",54853.00
"Irrigated Palay","....Ilocos Sur",32376.00
"Irrigated Palay","....La Union",24613.00
"Irrigated Palay","....Pangasinan",171774.00
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",526405.00
"Irrigated Palay","....Batanes",0.00
"Irrigated Palay","....Cagayan",179823.00
"Irrigated Palay","....Isabela",269960.00
"Irrigated Palay","....Nueva Vizcaya",53966.00
"Irrigated Palay","....Quirino",22656.00
"Irrigated Palay","..REGION III (CENTRAL LUZON)",659600.10
"Irrigated Palay","....Aurora",22106.12
"Irrigated Palay","....Bataan",27931.07
"Irrigated Palay","....Bulacan",68236.78
"Irrigated Palay","....Nueva Ecija",298453.00
"Irrigated Palay","....Pampanga",86152.12
"Irrigated Palay","....Tarlac",128510.00
"Irrigated Palay","....Zambales",28211.00
"Irrigated Palay","..REGION IV-A (CALABARZON)",76199.46
"Irrigated Palay","....Batangas",7792.03
"Irrigated Palay","....Cavite",6730.13
"Irrigated Palay","....Laguna",27681.04
"Irrigated Palay","....Quezon",30458.00
"Irrigated Palay","....Rizal",3538.26
"Irrigated Palay","..MIMAROPA REGION",201856.60
"Irrigated Palay","....Marinduque",3267.00
"Irrigated Palay","....Occidental Mindoro",52717.00
"Irrigated Palay","....Oriental Mindoro",83844.60
"Irrigated Palay","....Palawan",56828.00
"Irrigated Palay","....Romblon",5200.00
"Irrigated Palay","....Puerto Princesa City",..
"Irrigated Palay","..REGION V (BICOL REGION)",223308.46
"Irrigated Palay","....Albay",43920.00
"Irrigated Palay","....Camarines Norte",14773.00
"Irrigated Palay","....Camarines Sur",123556.00
"Irrigated Palay","....Catanduanes",3894.46
"Irrigated Palay","....Masbate",12474.00
"Irrigated Palay","....Sorsogon",24691.00
"Irrigated Palay","..REGION VI (WESTERN VISAYAS)",292708.00
"Irrigated Palay","....Aklan",19588.00
"Irrigated Palay","....Antique",35093.00
"Irrigated Palay","....Capiz",30636.00
"Irrigated Palay","....Guimaras",4593.00
"Irrigated Palay","....Iloilo",117786.00
"Irrigated Palay","....Negros Occidental",85012.00
"Irrigated Palay","..NEGROS ISLAND REGION",..
"Irrigated Palay","....Negros Occidental a/",..
"Irrigated Palay","....Negros Oriental b/",..
"Irrigated Palay","....Siquijor b/",..
"Irrigated Palay","....Bacolod City",..
"Irrigated Palay","..REGION VII (CENTRAL VISAYAS)",58433.00
"Irrigated Palay","....Bohol",38243.00
"Irrigated Palay","....Cebu",3327.00
"Irrigated Palay","....Negros Oriental",16467.00
"Irrigated Palay","....Siquijor",396.00
"Irrigated Palay","..REGION VIII (EASTERN VISAYAS)",122171.00
"Irrigated Palay","....Biliran",12303.00
"Irrigated Palay","....Eastern Samar",4833.00
"Irrigated Palay","....Leyte",77623.00
"Irrigated Palay","....Northern Samar",4240.00
"Irrigated Palay","....Samar",5526.00
"Irrigated Palay","....Southern Leyte",17646.00
"Irrigated Palay","..REGION IX (ZAMBOANGA PENINSULA)",89158.40
"Irrigated Palay","....Sulu c/",..
"Irrigated Palay","....Zamboanga del Norte",14671.00
"Irrigated Palay","....Zamboanga del Sur",50547.90
"Irrigated Palay","....Zamboanga Sibugay",19153.00
"Irrigated Palay","....Zamboanga City",4786.50
"Irrigated Palay","..REGION X (NORTHERN MINDANAO)",144653.00
"Irrigated Palay","....Bukidnon",85985.00
"Irrigated Palay","....Camiguin",563.00
"Irrigated Palay","....Lanao del Norte",34480.00
"Irrigated Palay","....Misamis Occidental",18169.00
"Irrigated Palay","....Misamis Oriental",5456.00
"Irrigated Palay","..REGION XI (DAVAO REGION)",89182.70
"Irrigated Palay","....Davao de Oro (Compostela Valley)",23650.00
"Irrigated Palay","....Davao del Norte",26502.00
"Irrigated Palay","....Davao del Sur",23928.00
"Irrigated Palay","....Davao Occidental",315.70
"Irrigated Palay","....Davao Oriental",12297.00
"Irrigated Palay","....City of Davao",2490.00
"Irrigated Palay","..REGION XII (SOCCSKSARGEN)",262831.82
"Irrigated Palay","....Cotabato (North Cotabato)",94531.00
"Irrigated Palay","....Sarangani",9935.82
"Irrigated Palay","....South Cotabato",69478.00
"Irrigated Palay","....Sultan Kudarat",88887.00
"Irrigated Palay","..REGION XIII (CARAGA)",97246.81
"Irrigated Palay","....Agusan del Norte",18308.00
"Irrigated Palay","....Agusan del Sur",43210.00
"Irrigated Palay","....Dinagat Islands",1880.00
"Irrigated Palay","....Surigao del Norte",14279.51
"Irrigated Palay","....Surigao del Sur",19569.30
"Irrigated Palay","....Butuan City",..
"Irrigated Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/",45151.62
"Irrigated Palay","....Basilan",98.00
"Irrigated Palay","....Lanao del Sur",18856.00
"Irrigated Palay","....Maguindanao del Norte",..
"Irrigated Palay","....Maguindanao del Sur",26187.62
"Irrigated Palay","....Sulu",10.00
"Irrigated Palay","....Tawi-tawi",0.00
"Rainfed Palay","PHILIPPINES",1465441.73
"Rainfed Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",21629.80
"Rainfed Palay","....Abra",8833.80
"Rainfed Palay","....Apayao",8206.00
"Rainfed Palay","....Benguet",1221.00
"Rainfed Palay","....Ifugao",533.00
"Rainfed Palay","....Kalinga",1915.00
"Rainfed Palay","....Mountain Province",921.00
"Rainfed Palay","..REGION I (ILOCOS REGION)",124085.00
"Rainfed Palay","....Ilocos Norte",11360.00
"Rainfed Palay","....Ilocos Sur",18706.00
"Rainfed Palay","....La Union",14256.00
"Rainfed Palay","....Pangasinan",79763.00
"Rainfed Palay","..REGION II (CAGAYAN VALLEY)",63312.00
"Rainfed Palay","....Batanes",79.00
"Rainfed Palay","....Cagayan",41290.00
"Rainfed Palay","....Isabela",16969.00
"Rainfed Palay","....Nueva Vizcaya",2611.00
"Rainfed Palay","....Quirino",2363.00
"Rainfed Palay","..REGION III (CENTRAL LUZON)",51608.00
"Rainfed Palay","....Aurora",1092.00
"Rainfed Palay","....Bataan",333.00
"Rainfed Palay","....Bulacan",13150.00
"Rainfed Palay","....Nueva Ecija",20878.00
"Rainfed Palay","....Pampanga",0.00
"Rainfed Palay","....Tarlac",8366.00
"Rainfed Palay","....Zambales",7789.00
"Rainfed Palay","..REGION IV-A (CALABARZON)",30066.23
"Rainfed Palay","....Batangas",4989.12
"Rainfed Palay","....Cavite",650.00
"Rainfed Palay","....Laguna",697.21
"Rainfed Palay","....Quezon",22873.00
"Rainfed Palay","....Rizal",856.90
"Rainfed Palay","..MIMAROPA REGION",91384.00
"Rainfed Palay","....Marinduque",2989.00
"Rainfed Palay","....Occidental Mindoro",26713.00
"Rainfed Palay","....Oriental Mindoro",16052.00
"Rainfed Palay","....Palawan",40387.00
"Rainfed Palay","....Romblon",5243.00
"Rainfed Palay","....Puerto Princesa City",..
"Rainfed Palay","..REGION V (BICOL REGION)",123320.53
"Rainfed Palay","....Albay",9973.00
"Rainfed Palay","....Camarines Norte",9820.00
"Rainfed Palay","....Camarines Sur",49468.00
"Rainfed Palay","....Catanduanes",5020.53
"Rainfed Palay","....Masbate",40187.00
"Rainfed Palay","....Sorsogon",8852.00
"Rainfed Palay","..REGION VI (WESTERN VISAYAS)",364227.94
"Rainfed Palay","....Aklan",18815.00
"Rainfed Palay","....Antique",35999.94
"Rainfed Palay","....Capiz",78474.00
"Rainfed Palay","....Guimaras",16817.00
"Rainfed Palay","....Iloilo",172712.00
"Rainfed Palay","....Negros Occidental",41410.00
"Rainfed Palay","..NEGROS ISLAND REGION",..
"Rainfed Palay","....Negros Occidental a/",..
"Rainfed Palay","....Negros Oriental b/",..
"Rainfed Palay","....Siquijor b/",..
"Rainfed Palay","....Bacolod City",..
"Rainfed Palay","..REGION VII (CENTRAL VISAYAS)",32031.00
"Rainfed Palay","....Bohol",26766.00
"Rainfed Palay","....Cebu",304.00
"Rainfed Palay","....Negros Oriental",4910.00
"Rainfed Palay","....Siquijor",51.00
"Rainfed Palay","..REGION VIII (EASTERN VISAYAS)",140245.00
"Rainfed Palay","....Biliran",0.00
"Rainfed Palay","....Eastern Samar",14091.00
"Rainfed Palay","....Leyte",34752.00
"Rainfed Palay","....Northern Samar",35781.00
"Rainfed Palay","....Samar",54171.00
"Rainfed Palay","....Southern Leyte",1450.00
"Rainfed Palay","..REGION IX (ZAMBOANGA PENINSULA)",68468.19
"Rainfed Palay","....Sulu c/",..
"Rainfed Palay","....Zamboanga del Norte",20042.00
"Rainfed Palay","....Zamboanga del Sur",22189.70
"Rainfed Palay","....Zamboanga Sibugay",24474.00
"Rainfed Palay","....Zamboanga City",1762.49
"Rainfed Palay","..REGION X (NORTHERN MINDANAO)",22462.00
"Rainfed Palay","....Bukidnon",14820.00
"Rainfed Palay","....Camiguin",0.00
"Rainfed Palay","....Lanao del Norte",6080.00
"Rainfed Palay","....Misamis Occidental",1060.00
"Rainfed Palay","....Misamis Oriental",502.00
"Rainfed Palay","..REGION XI (DAVAO REGION)",13736.00
"Rainfed Palay","....Davao de Oro (Compostela Valley)",5791.00
"Rainfed Palay","....Davao del Norte",2569.00
"Rainfed Palay","....Davao del Sur",27.00
"Rainfed Palay","....Davao Occidental",377.00
"Rainfed Palay","....Davao Oriental",3327.00
"Rainfed Palay","....City of Davao",1645.00
"Rainfed Palay","..REGION XII (SOCCSKSARGEN)",71854.98
"Rainfed Palay","....Cotabato (North Cotabato)",33561.00
"Rainfed Palay","....Sarangani",2331.98
"Rainfed Palay","....South Cotabato",15384.00
"Rainfed Palay","....Sultan Kudarat",20578.00
"Rainfed Palay","..REGION XIII (CARAGA)",58826.24
"Rainfed Palay","....Agusan del Norte",2520.00
"Rainfed Palay","....Agusan del Sur",42290.00
"Rainfed Palay","....Dinagat Islands",1003.00
"Rainfed Palay","....Surigao del Norte",5909.24
"Rainfed Palay","....Surigao del Sur",7104.00
"Rainfed Palay","....Butuan City",..
"Rainfed Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/",188184.82
"Rainfed Palay","....Basilan",39.00
"Rainfed Palay","....Lanao del Sur",57241.00
"Rainfed Palay","....Maguindanao del Norte",..
"Rainfed Palay","....Maguindanao del Sur",130236.82
"Rainfed Palay","....Sulu",503.00
"Rainfed Palay","....Tawi-tawi",165.00
