"Ecosystem/Croptype","Geolocation","2020 Annual"
"Irrigated Palay","PHILIPPINES",14571765.18
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",316444.55
"Irrigated Palay","....Abra",56343.50
"Irrigated Palay","....Apayao",75738.54
"Irrigated Palay","....Benguet",18978.29
"Irrigated Palay","....Ifugao",47441.09
"Irrigated Palay","....Kalinga",104224.37
"Irrigated Palay","....Mountain Province",13718.76
"Irrigated Palay","..REGION I (ILOCOS REGION)",1385111.85
"Irrigated Palay","....Ilocos Norte",289865.85
"Irrigated Palay","....Ilocos Sur",165566.00
"Irrigated Palay","....La Union",114818.00
"Irrigated Palay","....Pangasinan",814862.00
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",2449638.00
"Irrigated Palay","....Batanes",0.00
"Irrigated Palay","....Cagayan",789781.00
"Irrigated Palay","....Isabela",1309801.00
"Irrigated Palay","....Nueva Vizcaya",245203.00
"Irrigated Palay","....Quirino",104853.00
"Irrigated Palay","..REGION III (CENTRAL LUZON)",3421393.54
"Irrigated Palay","....Aurora",86435.00
"Irrigated Palay","....Bataan",124065.00
"Irrigated Palay","....Bulacan",306751.77
"Irrigated Palay","....Nueva Ecija",1815295.86
"Irrigated Palay","....Pampanga",421937.80
"Irrigated Palay","....Tarlac",539562.95
"Irrigated Palay","....Zambales",127345.16
"Irrigated Palay","..REGION IV-A (CALABARZON)",305676.54
"Irrigated Palay","....Batangas",24435.00
"Irrigated Palay","....Cavite",23415.60
"Irrigated Palay","....Laguna",127442.83
"Irrigated Palay","....Quezon",117940.60
"Irrigated Palay","....Rizal",12442.52
"Irrigated Palay","..MIMAROPA REGION",866024.10
"Irrigated Palay","....Marinduque",11215.00
"Irrigated Palay","....Occidental Mindoro",216695.00
"Irrigated Palay","....Oriental Mindoro",374683.10
"Irrigated Palay","....Palawan",243545.00
"Irrigated Palay","....Romblon",19886.00
"Irrigated Palay","....Puerto Princesa City",..
"Irrigated Palay","..REGION V (BICOL REGION)",907068.47
"Irrigated Palay","....Albay",186439.70
"Irrigated Palay","....Camarines Norte",70972.22
"Irrigated Palay","....Camarines Sur",483608.00
"Irrigated Palay","....Catanduanes",13969.55
"Irrigated Palay","....Masbate",41589.00
"Irrigated Palay","....Sorsogon",110490.00
"Irrigated Palay","..REGION VI (WESTERN VISAYAS)",1104361.68
"Irrigated Palay","....Aklan",69009.61
"Irrigated Palay","....Antique",145642.00
"Irrigated Palay","....Capiz",115347.08
"Irrigated Palay","....Guimaras",16447.00
"Irrigated Palay","....Iloilo",415731.99
"Irrigated Palay","....Negros Occidental",342184.00
"Irrigated Palay","..NEGROS ISLAND REGION",..
"Irrigated Palay","....Negros Occidental a/",..
"Irrigated Palay","....Negros Oriental b/",..
"Irrigated Palay","....Siquijor b/",..
"Irrigated Palay","....Bacolod City",..
