source_id,provider,title,observation_period,indicators_used,source_url,local_evidence,local_evidence_sha256,provenance_note
SRC_PHL_DOE_2024_POWER_SUMMARY,Philippine Department of Energy,2024 Philippine Power Statistics / power-generation summary,2020-2024,gross generation; natural-gas generation,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,documentation/doe_power_validation_2020_2024.csv,403bcc1db577ff504f9fbec38cbee6ddba77982068b463895f7b3d0e7b46644b,Existing v33 validation extract checked and reused; 2020 has the documented broader generation boundary.
SRC_PSA_SSAF_2022,Philippine Statistics Authority,Selected Statistics on Agriculture and Fisheries 2022,2020,irrigation service area; palay harvested area and production by regime,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,data_sources/SOURCES.csv:81,80d888f1aabad2fb25a72c9b04f6b221c9934323515f7327c4767db31d099665,Existing canonical v33 source-ledger entry and retained values reused.
SRC_FAO_AQUASTAT_PHL_2020_BOUNDARY,FAO AQUASTAT,"AQUASTAT dissemination system, Philippines selection",2020,agricultural water withdrawal; net irrigation water requirement,https://data.apps.fao.org/aquastat/,data_sources/snapshots/aquastat_philippines_irrigation_boundary_2026-08-11.json,f63485ee3a8c8ddee5936d5de7ce3a5bd42040d025477c0f58fc80fdf87366b8,Existing v33 normalized extract reused; variable 4250 is broader than crop irrigation.
SRC_FAO_AQUASTAT_TABLE4_2012,FAO AQUASTAT,Table 4: irrigation water requirement ratio by country,2006,irrigation water requirement and withdrawal,https://firebasestorage.googleapis.com/v0/b/fao-aquastat.appspot.com/o/PDF%2FTABLES%2FTable4.pdf?alt=media&token=fdba62dc-ca8f-4b80-adcd-909baa2ddf87,data_sources/snapshots/aquastat_philippines_irrigation_boundary_2026-08-11.json,f63485ee3a8c8ddee5936d5de7ce3a5bd42040d025477c0f58fc80fdf87366b8,Existing v33 historical reference reused; period mismatch keeps it diagnostic-only.
SRC_PSA_WATER_ACCOUNTS_2024_REVISION,Philippine Statistics Authority,"Water Flow Accounts for the Philippine Economy, 2015-2024",2020 and 2024,total abstraction; surface/groundwater shares,https://psa.gov.ph/system/files/enrad/2.%20Highlights_WFA.pdf,historical_comparison_register_v33.csv,,Official revision checked 2026-08-27; 2020=218.58 km3 conflicts slightly with the retained earlier-release value 218.46 km3. Both are disclosed.
SRC_PHL_BTR_2024_TABLE15,Climate Change Commission / NICCDIES,First Philippine Biennial Transparency Report,2020,"energy, transport, agriculture, forestry and other-land-use GHG",https://niccdies.climate.gov.ph/files/documents/Final-%20Philippine%20Biennial%20Transparency%20Report.pdf,data_sources/snapshots/psa_openstat_agriculture_2020.json:agriculture_ghg_2020_gg_co2e,30d7ab1b45c07a1847f48e9c1eddbcba5197e0dbecc2aa9bc20a2284beba9122,Earlier v33 research snapshot already retained the agriculture total and source locator; the register adds the directly checked national inventory categories.
SRC_PHL_V22_GHGI,Climate Change Commission / NICCDIES,2015 and 2020 National GHG Inventory Executive Brief,2020,rice CH4; direct and indirect managed-soil N2O,https://niccdies.climate.gov.ph/files/documents/2015%20and%202020%20National%20GHGI%20Executive%20Brief.pdf,data_sources/snapshots/philippines_v22_transition_scope_extracts_2026-08-20.json,10ee8b46f4f8438851c12804ceddd6dff04bb5c55df1a787dbf7bf2e614017a3,Existing hashed v33 retained extract reused.
SRC_PHL_V22_DOE_2024_AFF,Philippine Department of Energy,2024 Philippine Energy Situationer,2020,agriculture/forestry/fishery final energy and electricity share,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,data_sources/snapshots/philippines_v22_transition_scope_extracts_2026-08-20.json,10ee8b46f4f8438851c12804ceddd6dff04bb5c55df1a787dbf7bf2e614017a3,Existing hashed v33 retained extract reused; source id matches the canonical source ledger.
SRC_PHL_V23_BIOMASS_DOE_KES_SIMPLE,Philippine Department of Energy,2020 Key Energy Statistics,2020,other agricultural-waste biomass production,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/2020_key_energy_statistics.pdf,data_sources/SOURCES.csv:171,80d888f1aabad2fb25a72c9b04f6b221c9934323515f7327c4767db31d099665,Existing canonical v33 source-ledger entry reused; commodity mismatch keeps it diagnostic-only.
SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,Philippine Department of Energy,Philippine Energy Plan 2020-2040,2020,industry final-energy fuel shares; total coal consumption,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,data_sources/snapshots/historical_heat_cooking_processing_2020_2026-08-27.json,ea9ffcd0ddc2acd366f6ca6dcb9783875c046303acfd8827d83845f61ac41e83,Official national tables retained at published precision. Industry shares remain diagnostic because no process-heat-only national table was located; total coal consumption is aligned and score-ready.
SRC_PHL_DOE_PES_KES_2020_SERVICES_REFINING,Philippine Department of Energy,2020 Philippine Energy Situationer and Key Energy Statistics,2020,services final-energy fuel shares; domestic refinery output,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,data_sources/snapshots/historical_heat_cooking_processing_2020_2026-08-27.json,ea9ffcd0ddc2acd366f6ca6dcb9783875c046303acfd8827d83845f61ac41e83,Official national values retained at published precision; both comparisons remain diagnostic because the model boundaries are narrower for services heat and broader for oil processing.
SRC_PHL_DOE_NATGAS_DEVELOPMENT_PLAN,Philippine Department of Energy,Natural Gas Development Plan,2020,national natural-gas production and consumption,https://legacy.doe.gov.ph/sites/default/files/pdf/downstream_natgas/NaturalGasDevelopmentPlan.pdf,data_sources/snapshots/historical_heat_cooking_processing_2020_2026-08-27.json,ea9ffcd0ddc2acd366f6ca6dcb9783875c046303acfd8827d83845f61ac41e83,DOE consumption is converted with the same full-precision physical conversion already retained by v33; 2020 predates LNG imports.
SRC_PHL_V23_BIOMASS_PSA_COOKING,Philippine Statistics Authority,"Household Characteristics, 2020 Census of Population and Housing",2020,primary household cooking-fuel shares,https://psa.gov.ph/statistics/population-and-housing/node/1684059981,data_sources/snapshots/historical_heat_cooking_processing_2020_2026-08-27.json; data_sources/SOURCES.csv:175,ea9ffcd0ddc2acd366f6ca6dcb9783875c046303acfd8827d83845f61ac41e83,Existing canonical source reused with a normalized extract. Household shares are diagnostic and not independent because they informed the v23 cooking proxy and stock mix.
