province,node,basis
Abra,LUZ,GADM province in Luzon island group
Agusan del Norte,MIN,GADM province in Mindanao island group
Agusan del Sur,MIN,GADM province in Mindanao island group
Aklan,VIS,GADM province in Visayas island group
Albay,LUZ,GADM province in Luzon island group
Antique,VIS,GADM province in Visayas island group
Apayao,LUZ,GADM province in Luzon island group
Aurora,LUZ,GADM province in Luzon island group
Basilan,OFF,ERC missionary/island system
Bataan,LUZ,GADM province in Luzon island group
Batanes,OFF,isolated island system
Batangas,LUZ,GADM province in Luzon island group
Benguet,LUZ,GADM province in Luzon island group
Biliran,VIS,GADM province in Visayas island group
Bohol,VIS,GADM province in Visayas island group
Bukidnon,MIN,GADM province in Mindanao island group
Bulacan,LUZ,GADM province in Luzon island group
Cagayan,LUZ,GADM province in Luzon island group
Camarines Norte,LUZ,GADM province in Luzon island group
Camarines Sur,LUZ,GADM province in Luzon island group
Camiguin,OFF,isolated island system
Capiz,VIS,GADM province in Visayas island group
Catanduanes,OFF,ERC missionary/island system
Cavite,LUZ,GADM province in Luzon island group
Cebu,VIS,GADM province in Visayas island group
Compostela Valley,MIN,GADM province in Mindanao island group
Davao Oriental,MIN,GADM province in Mindanao island group
Davao del Norte,MIN,GADM province in Mindanao island group
Davao del Sur,MIN,GADM province in Mindanao island group
Dinagat Islands,OFF,isolated island system
Eastern Samar,VIS,GADM province in Visayas island group
Guimaras,VIS,GADM province in Visayas island group
Ifugao,LUZ,GADM province in Luzon island group
Ilocos Norte,LUZ,GADM province in Luzon island group
Ilocos Sur,LUZ,GADM province in Luzon island group
Iloilo,VIS,GADM province in Visayas island group
Isabela,LUZ,GADM province in Luzon island group
Kalinga,LUZ,GADM province in Luzon island group
La Union,LUZ,GADM province in Luzon island group
Laguna,LUZ,GADM province in Luzon island group
Lanao del Norte,MIN,GADM province in Mindanao island group
Lanao del Sur,MIN,GADM province in Mindanao island group
Leyte,VIS,GADM province in Visayas island group
Maguindanao,MIN,GADM province in Mindanao island group
Marinduque,OFF,ERC missionary/island system
Masbate,OFF,ERC missionary/island system
Metropolitan Manila,LUZ,GADM province in Luzon island group
Misamis Occidental,MIN,GADM province in Mindanao island group
Misamis Oriental,MIN,GADM province in Mindanao island group
Mountain Province,LUZ,GADM province in Luzon island group
Negros Occidental,VIS,GADM province in Visayas island group
Negros Oriental,VIS,GADM province in Visayas island group
North Cotabato,MIN,GADM province in Mindanao island group
Northern Samar,VIS,GADM province in Visayas island group
Nueva Ecija,LUZ,GADM province in Luzon island group
Nueva Vizcaya,LUZ,GADM province in Luzon island group
Occidental Mindoro,OFF,ERC missionary/island system
Oriental Mindoro,OFF,ERC missionary/island system
Palawan,OFF,ERC missionary/island system
Pampanga,LUZ,GADM province in Luzon island group
Pangasinan,LUZ,GADM province in Luzon island group
Quezon,LUZ,GADM province in Luzon island group
Quirino,LUZ,GADM province in Luzon island group
Rizal,LUZ,GADM province in Luzon island group
Romblon,OFF,ERC missionary/island system
Samar,VIS,GADM province in Visayas island group
Sarangani,MIN,GADM province in Mindanao island group
Siquijor,OFF,ERC missionary/island system
Sorsogon,LUZ,GADM province in Luzon island group
South Cotabato,MIN,GADM province in Mindanao island group
Southern Leyte,VIS,GADM province in Visayas island group
Sultan Kudarat,MIN,GADM province in Mindanao island group
Sulu,OFF,ERC missionary/island system
Surigao del Norte,MIN,GADM province in Mindanao island group
Surigao del Sur,MIN,GADM province in Mindanao island group
Tarlac,LUZ,GADM province in Luzon island group
Tawi-Tawi,OFF,ERC missionary/island system
Zambales,LUZ,GADM province in Luzon island group
Zamboanga Sibugay,MIN,GADM province in Mindanao island group
Zamboanga del Norte,MIN,GADM province in Mindanao island group
Zamboanga del Sur,MIN,GADM province in Mindanao island group
